id_documento,titulo,descripcion,tipo_documento,departamento,modelo_equipo,fecha_actualizacion,prioridad,cliente_sector
1,Protocolo de calibración XR-900,"Procedimiento para ajustar sensores de presión y temperatura en sistemas de refrigeración industrial del modelo XR-900. Incluye comprobación de lecturas, tolerancias y validación final.",Procedimiento,Calidad,XR-900,2022-02-07,Media,Automoción
2,Incidencia térmica XR-900-PRO,"Ticket sobre fallo de temperatura en cámara frigorífica conectada al modelo XR-900-PRO. Se revisan alarmas, ventiladores, presión del circuito y controlador.",Informe,Calidad,XR-900-PRO,2022-03-16,Baja,Logística
3,Manual de mantenimiento preventivo XR-800,"Manual para mantenimiento preventivo del modelo XR-800. Describe limpieza, revisión de sensores, engrase, comprobación eléctrica y parada segura.",Manual,Operaciones,XR-800,2022-04-22,Crítica,Farmacéutico
4,Informe de avería crítica XR-800-PRO,"Informe de avería crítica en equipo XR-800-PRO. Analiza síntomas, causa raíz, impacto en producción y acciones correctivas.",Ticket,Operaciones,XR-800-PRO,2022-05-29,Alta,Alimentación
5,Procedimiento de seguridad ZX-1200,"Protocolo de seguridad para intervención sobre el modelo ZX-1200. Incluye bloqueo y etiquetado, parada de emergencia y verificación antes del arranque.",Procedimiento,Calidad,ZX-1200,2022-07-05,Alta,Farmacéutico
6,Guía de diagnóstico rápido ZX-1200-PLUS,"Guía para diagnosticar fallos frecuentes en el modelo ZX-1200-PLUS: presión, temperatura inestable, sensor fuera de rango y pérdida de comunicación.",Informe,Seguridad,ZX-1200-PLUS,2022-08-11,Alta,Logística
7,Revisión de calidad XR-900,"Informe de calidad del modelo XR-900. Incluye validación de parámetros, registro de desviaciones y aceptación tras intervención.",Manual,Seguridad,XR-900,2022-09-17,Crítica,Farmacéutico
8,Operación estándar XR-900-PRO,"Documento de operaciones para uso diario del modelo XR-900-PRO. Describe arranque, parada, revisión visual e indicadores de estado.",Ticket,Seguridad,XR-900-PRO,2022-10-24,Alta,Alimentación
9,Protocolo de calibración XR-800,"Procedimiento para ajustar sensores de presión y temperatura en sistemas de refrigeración industrial del modelo XR-800. Incluye comprobación de lecturas, tolerancias y validación final.",Procedimiento,Mantenimiento,XR-800,2022-11-30,Media,Automoción
10,Incidencia térmica XR-800-PRO,"Ticket sobre fallo de temperatura en cámara frigorífica conectada al modelo XR-800-PRO. Se revisan alarmas, ventiladores, presión del circuito y controlador.",Informe,Mantenimiento,XR-800-PRO,2023-01-06,Baja,Logística
11,Manual de mantenimiento preventivo ZX-1200,"Manual para mantenimiento preventivo del modelo ZX-1200. Describe limpieza, revisión de sensores, engrase, comprobación eléctrica y parada segura.",Manual,Seguridad,ZX-1200,2023-02-12,Baja,Automoción
12,Informe de avería crítica ZX-1200-PLUS,"Informe de avería crítica en equipo ZX-1200-PLUS. Analiza síntomas, causa raíz, impacto en producción y acciones correctivas.",Ticket,Operaciones,ZX-1200-PLUS,2023-03-21,Baja,Alimentación
13,Procedimiento de seguridad XR-900,"Protocolo de seguridad para intervención sobre el modelo XR-900. Incluye bloqueo y etiquetado, parada de emergencia y verificación antes del arranque.",Procedimiento,Operaciones,XR-900,2023-04-27,Media,Automoción
14,Guía de diagnóstico rápido XR-900-PRO,"Guía para diagnosticar fallos frecuentes en el modelo XR-900-PRO: presión, temperatura inestable, sensor fuera de rango y pérdida de comunicación.",Informe,Operaciones,XR-900-PRO,2023-06-03,Baja,Logística
15,Revisión de calidad XR-800,"Informe de calidad del modelo XR-800. Incluye validación de parámetros, registro de desviaciones y aceptación tras intervención.",Manual,Soporte,XR-800,2023-07-10,Crítica,Farmacéutico
16,Operación estándar XR-800-PRO,"Documento de operaciones para uso diario del modelo XR-800-PRO. Describe arranque, parada, revisión visual e indicadores de estado.",Ticket,Soporte,XR-800-PRO,2023-08-16,Alta,Alimentación
